ESTACION,MES,HORA,VEL
Estacion3,1,3,0.7093360995850615
Estacion3,1,4,0.7056918547595691
Estacion3,1,5,0.7207253886010356
Estacion3,1,6,0.7041666666666659
Estacion3,1,7,0.7559255631733595
Estacion3,1,8,1.0239089184060732
Estacion3,1,9,1.3949950932286546
Estacion3,1,10,1.7145307769929368
Estacion3,1,11,2.093176972281451
Estacion3,1,12,2.558113590263693
Estacion3,1,13,2.8699790794979045
Estacion3,1,14,3.018458417849892
Estacion3,1,15,2.8576771653543305
Estacion3,1,16,2.566830225711484
Estacion3,1,17,1.9987328405491016
Estacion3,1,18,1.5829417773237995
Estacion3,1,19,1.2203174603174594
Estacion3,1,20,1.122389666307859
Estacion3,1,21,0.9984059511158322
Estacion3,1,22,0.8261758691206526
Estacion3,1,23,0.7802588996763752
Estacion3,2,0,0.7445019404915908
Estacion3,2,1,0.7336814621409931
Estacion3,2,2,0.7598971722365039
Estacion3,2,3,0.7693611473272488
Estacion3,2,4,0.7432291666666665
Estacion3,2,5,0.7311308767471408
Estacion3,2,6,0.7193971166448235
Estacion3,2,7,0.7596153846153841
Estacion3,2,8,1.0433889602053925
Estacion3,2,9,1.450970245795601
Estacion3,2,10,1.801468624833111
Estacion3,2,11,2.178244274809161
Estacion3,2,12,2.6556410256410232
Estacion3,2,13,3.0001324503311255
Estacion3,2,14,2.961328125000003
Estacion3,2,15,2.7572916666666685
Estacion3,2,16,2.4222946544980477
Estacion3,2,17,2.0911504424778764
Estacion3,2,18,1.5440764331210184
Estacion3,2,19,1.1740896358543422
Estacion3,2,20,1.1020689655172415
Estacion3,2,21,0.8991825613079024
Estacion3,2,22,0.8883495145631076
Estacion3,2,23,0.7856767411300929
Estacion3,3,0,0.8390243902439024
Estacion3,3,1,0.799904580152672
Estacion3,3,2,0.8117302052785926
Estacion3,3,3,0.7838867187500005
Estacion3,3,4,0.7680501930501931
Estacion3,3,5,0.7835091083413227
Estacion3,3,6,0.774568138195777
Estacion3,3,7,0.7883168316831667
Estacion3,3,8,1.0123919308357352
Estacion3,3,9,1.4253189401373894
Estacion3,3,10,1.7189587426326105
Estacion3,3,11,2.2060576923076956
Estacion3,3,12,2.5737688442211093
Estacion3,3,13,2.755933852140079
Estacion3,3,14,2.787549407114626
Estacion3,3,15,2.597884615384619
Estacion3,3,16,2.378606965174133
Estacion3,3,17,2.062763915547026
Estacion3,3,18,1.6101058710298364
Estacion3,3,19,1.2619433198380532
Estacion3,3,20,1.1540512820512825
Estacion3,3,21,0.9857723577235763
Estacion3,3,22,0.9484135107471843
Estacion3,3,23,0.9218309859154922
Estacion3,4,0,0.8538608198284071
Estacion3,4,1,0.8370829361296461
Estacion3,4,2,0.8014634146341462
Estacion3,4,3,0.7690019193857971
Estacion3,4,4,0.7308582449373184
Estacion3,4,5,0.7239693192713328
Estacion3,4,6,0.715492957746477
Estacion3,4,7,0.7656249999999999
Estacion3,4,8,0.9446327683615797
Estacion3,4,9,1.2745265151515148
Estacion3,4,10,1.6256038647342992
Estacion3,4,11,1.9702989392478312
Estacion3,4,12,2.229484732824429
Estacion3,4,13,2.379327398615232
Estacion3,4,14,2.3611273080660884
Estacion3,4,15,2.279631425800195
Estacion3,4,16,2.047413793103449
Estacion3,4,17,1.652540747842759
Estacion3,4,18,1.455842911877393
Estacion3,4,19,1.2864995178399223
Estacion3,4,20,1.179768786127168
Estacion3,4,21,0.99921951219512
Estacion3,4,22,0.9561352657004838
Estacion3,4,23,0.873883495145632
Estacion3,5,0,0.8244102564102567
Estacion3,5,1,0.8120040691759921
Estacion3,5,2,0.7970677451971686
Estacion3,5,3,0.7755849440488288
Estacion3,5,4,0.7528985507246376
Estacion3,5,5,0.7040126715945082
Estacion3,5,6,0.7211252653927807
Estacion3,5,7,0.7505091649694492
Estacion3,5,8,0.9382502543234991
Estacion3,5,9,1.2231491136600614
Estacion3,5,10,1.681103166496426
Estacion3,5,11,1.932069672131149
Estacion3,5,12,2.150816326530611
Estacion3,5,13,2.235602094240836
Estacion3,5,14,2.2570981210855967
Estacion3,5,15,2.125257731958762
Estacion3,5,16,1.9530010172939973
Estacion3,5,17,1.706673407482305
Estacion3,5,18,1.391212121212123
Estacion3,5,19,1.3568065506653026
Estacion3,5,20,1.1590163934426232
Estacion3,5,21,1.0420570264765785
Estacion3,5,22,0.9627572016460904
Estacion3,5,23,0.8874233128834348
Estacion3,6,0,0.8667338709677408
Estacion3,6,1,0.830464216634429
Estacion3,6,2,0.8118577075098806
Estacion3,6,3,0.8363372093023246
Estacion3,6,4,0.8277227722772276
Estacion3,6,5,0.8038922155688606
Estacion3,6,6,0.7411233701103296
Estacion3,6,7,0.8152195121951208
Estacion3,6,8,0.9467695274831247
Estacion3,6,9,1.1963566634707579
Estacion3,6,10,1.5439306358381502
Estacion3,6,11,1.8079522862823059
Estacion3,6,12,1.9493027888446204
Estacion3,6,13,2.061461461461461
Estacion3,6,14,1.9942403177755692
Estacion3,6,15,1.8753195673549676
Estacion3,6,16,1.791525423728813
Estacion3,6,17,1.5396841066140186
Estacion3,6,18,1.371525753158406
Estacion3,6,19,1.181212723658049
Estacion3,6,20,1.047219512195123
Estacion3,6,21,0.9544327931363202
Estacion3,6,22,0.8823053589484311
Estacion3,6,23,0.8810463968410649
Estacion3,7,0,0.8292682926829259
Estacion3,7,1,0.8458376156217879
Estacion3,7,2,0.8369721936148299
Estacion3,7,3,0.8363354037267053
Estacion3,7,4,0.7938477580813347
Estacion3,7,5,0.8221030042918459
Estacion3,7,6,0.8292864749733749
Estacion3,7,7,0.7850159404888405
Estacion3,7,8,0.9274611398963724
Estacion3,7,9,1.18735632183908
Estacion3,7,10,1.501147028154327
Estacion3,7,11,1.8053435114503786
Estacion3,7,12,1.9776709401709416
Estacion3,7,13,1.9742489270386283
Estacion3,7,14,1.9965517241379285
Estacion3,7,15,1.8057259713701423
Estacion3,7,16,1.5857429718875509
Estacion3,7,17,1.3817012858555888
Estacion3,7,18,1.2602865916069599
Estacion3,7,19,1.1293139293139278
Estacion3,7,20,1.0601449275362327
Estacion3,7,21,0.9626384692849952
Estacion3,7,22,0.9167012448132782
Estacion3,7,23,0.8395445134575559
Estacion3,8,0,0.7928571428571434
